,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,nombre_colonia,municipio,nombre_municipio,sostenimiento,nivel,programa,hombres_1!,mujeres_1!,total_1!,hombres_2!,mujeres_2!,total_2!,hombres_3!,mujeres_3!,total_3!,hombres_4!,mujeres_4!,total_4!,hombres_5!,mujeres_5!,total_5!,hombres_6!,mujeres_6!,total_6!,hombres_total,mujeres_total,matricula_total,docentes,grupos,docenete_educacion_fisica,docente_actividades_artisticas,docente_actividades_tecnonologicas,docente_de_idiomas,personal_de_administrativo_y_servicios,director_con_grupo,director_sin_grupo,total_de_personal
11753,14DTV0537H,MATUTINO,FRANCISCO MARQUEZ,AVENIDA MEXICO,9,EL CERRITO,0,102,TONAYA,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,4,3,7,3,1,4,3,4,7,0,0,0,0,0,0,0,0,0,10,8,18,2,3,0,0,0,0,0,1,0,2
11754,14DTV0538G,MATUTINO,JUAN RULFO,CARRETERA CIUDAD GUZMAN EL GRULLO KM. 58,13,LA CROIX,0,113,SAN GABRIEL,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,13,10,23,10,9,19,4,7,11,0,0,0,0,0,0,0,0,0,27,26,53,3,3,0,0,0,0,0,1,0,3
11755,14DTV0539F,MATUTINO,NIOS HEROES,CAMINO REAL,157,EL TARAY,0,85,TAMAZULA DE GORDIANO,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,5,2,7,4,5,9,0,4,4,0,0,0,0,0,0,0,0,0,9,11,20,2,3,0,0,0,0,0,1,0,2
11756,14DTV0973I,MATUTINO,MARIANO OTERO,MARIANO OTERO 2,235,EL CORRIDO,0,100,TOMATLAN,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,5,5,10,2,6,8,10,7,17,0,0,0,0,0,0,0,0,0,17,18,35,3,3,0,0,0,0,0,1,0,3
11757,14DTV0974H,MATUTINO,RICARDO FLORES MAGON,CONOCIDO,18,CABREL,0,100,TOMATLAN,FEDERALIZADO,SECUNDARIA,TELESECUNDARIA,3,3,6,2,0,2,2,2,4,0,0,0,0,0,0,0,0,0,7,5,12,1,3,0,0,0,0,0,1,0,1
11758,14EST0001J,MATUTINO,REPUBLICA ITALIANA,NUEVE 180,1,ZAPOPAN,ZOQUIPAN,120,ZAPOPAN,ESTATAL,SECUNDARIA,TECNICA,87,92,179,93,78,171,73,82,155,0,0,0,0,0,0,0,0,0,253,252,505,29,12,2,1,4,0,20,0,1,50
11759,14EST0001J,VESPERTINO,REPUBLICA ITALIANA,NUEVE 180,1,ZAPOPAN,ZOQUIPAN,120,ZAPOPAN,ESTATAL,SECUNDARIA,TECNICA,41,30,71,55,49,104,55,42,97,0,0,0,0,0,0,0,0,0,151,121,272,33,10,3,1,2,0,18,0,1,52
11760,14EST0002I,VESPERTINO,RAMON LOPEZ VELARDE,EXTRAMUROS 1000,7,AYUQUILA,0,37,EL GRULLO,ESTATAL,SECUNDARIA,TECNICA,16,12,28,19,9,28,15,8,23,0,0,0,0,0,0,0,0,0,50,29,79,9,3,0,0,0,0,6,0,1,16
11761,14EST0003H,VESPERTINO,AGUSTIN YAEZ DELGADILLO,AVENIDA SECUNDARIA TECNICA,5,ESTIPAC,0,114,VILLA CORONA,ESTATAL,SECUNDARIA,TECNICA,39,41,80,36,60,96,41,44,85,0,0,0,0,0,0,0,0,0,116,145,261,19,9,1,2,3,0,14,0,1,34
11762,14EST0004G,MATUTINO,DAVID GUTIERREZ PEREZ,PROLONGACION 5 DE MAYO,1,UNION DE SAN ANTONIO,0,109,UNION DE SAN ANTONIO,ESTATAL,SECUNDARIA,TECNICA,78,75,153,75,70,145,72,85,157,0,0,0,0,0,0,0,0,0,225,230,455,24,13,2,3,2,0,11,0,1,36
11763,14EST0005F,MATUTINO,LAURA ROSALES ARREOLA,ATOTONILCO EL ALTO 1,1,TONALA,JALISCO,101,TONALA,ESTATAL,SECUNDARIA,TECNICA,103,109,212,117,104,221,141,101,242,0,0,0,0,0,0,0,0,0,361,314,675,36,15,2,2,0,0,21,1,0,57
11764,14EST0005F,VESPERTINO,LAURA ROSALES ARREOLA,ATOTONILCO EL ALTO 1,1,TONALA,JALISCO,101,TONALA,ESTATAL,SECUNDARIA,TECNICA,114,103,217,103,132,235,94,108,202,0,0,0,0,0,0,0,0,0,311,343,654,42,15,3,2,0,0,13,1,1,56
11765,14EST0006E,VESPERTINO,TECNICA 6,CONOCIDO,59,VEINTIUNO DE NOVIEMBRE,0,108,TUXPAN,ESTATAL,SECUNDARIA,TECNICA,5,9,14,8,10,18,10,13,23,0,0,0,0,0,0,0,0,0,23,32,55,8,3,1,0,3,0,2,0,1,11
11766,14EST0007D,MATUTINO,EMILIANO ZAPATA,JUAREZ 152,41,ZAPOTE DEL VALLE (ZAPOTE DE SANTA CRUZ),0,97,TLAJOMULCO DE ZUIGA,ESTATAL,SECUNDARIA,TECNICA,76,53,129,47,48,95,50,34,84,0,0,0,0,0,0,0,0,0,173,135,308,18,7,2,0,2,0,8,0,1,27
11767,14EST0007D,VESPERTINO,EMILIANO ZAPATA,JUAREZ 152,41,ZAPOTE DEL VALLE (ZAPOTE DE SANTA CRUZ),0,97,TLAJOMULCO DE ZUIGA,ESTATAL,SECUNDARIA,TECNICA,39,34,73,46,35,81,41,41,82,0,0,0,0,0,0,0,0,0,126,110,236,21,6,1,2,1,0,7,1,0,28
